,Question
4953,"Both England's King George V & FDR put their stamp of approval on this ""King of Hobbies"""
6337,"In retaliation for Viking raids, this ""Unready"" king of England attacks Norse areas of the Isle of Man"
9191,This king of England beat the odds to trounce the French in the 1415 Battle of Agincourt
11710,"This Scotsman, the first Stuart king of England, was called ""The Wisest Fool in Christendom"""
13454,It's the number that followed the last king of England named William
14445,"Nelson said, ""England expects that every man will do"" this & died thanking God he did his"
14912,"This country's King Louis IV was nicknamed ""Louis From Overseas"" because he was raised in England"
16475,There was good kinging in the 800s--Leo the Wise ruled the Byzantine Empire while England had Alfred the this
18076,In 1199 this crusader king of England was mortally wounded while besieging the castle of Chalus
19104,"Name of 8 kings of England since 1272, it was also General Lee's middle name"
19168,"He was the only king of England to have ""The Great"" tacked on to his name"
21511,this man and his son ruled England following the execution of King Charles I
23810,William the Conqueror was crowned King of England in Westminster Abbey on Christmas Day in this year
23979,"This ""unready"" king of England lost most of his country to Sven Forkbeard, the king of Denmark"
26780,This king of England was killed by a Norman arrow at the Battle of Hastings
27380,In 1066 he became the last Saxon king to rule England
27555,This member of the Medici family was the mother-in-law of England's King Charles I
28570,The IV king of this name (following the Norman Conquest) brought the House of York to England's throne
33174,This king of England was a leader of the Third Crusade
33294,"(Sarah of the Clue Crew delivers the clue from the Bayeux Cathedral in France.)  Despite taking an oath to assure another succession, Harold is crowned King of England; the tapestry indicated it was <a href=""http://www.j-archive.com/media/2008-12-18_J_08.jpg"" target=""_blank"">Stigant</a>, this archbishop, who performed the ceremony"
35478,"Born in Bedfordshire, England in 1628, he was making ""Progress"" from the start"
35869,"Before he became king of England, George VI served in the Royal Navy & fought in the Battle of Jutland during this war"
36360,"(<a href=""http://www.j-archive.com/media/2005-05-30_DJ_26.jpg"" target=""_blank"">Jimmy of the Clue Crew holds a block of cheese</a>.)  I'm in this Midwest state famous for making cheddar, which actually originated in a village in England"
37550,They named a knot for this Duke who was briefly king of England
41148,"This French king recognized William of Orange as William II, King of England, under the terms of 1697's Treaty of Ryswick"
41357,"England's King Henry VIII had 3 wives named Catherine:  Catherine Howard, Catherine of Aragon & this one"
43122,The father of England's King Edward VI
47814,This steak sauce was created for King George IV of England
49994,"Elizabeth I's half-brother, he reigned before her as King of England from 1547 to 1553"
51115,"(<a href=""http://www.j-archive.com/media/2000-03-02_J_22.jpg"" target=""_blank"">Alex Trebek reads from England.</a>)  In 1214 barons fed up with King John met at the abbey whose ruins we see here; the result a year later was this charter"
51565,"He wrote several anthems, including ""The King Shall Rejoice"", for the coronation of England's King George II"
51986,"This associate of Marx wrote about ""the condition of the working class in England in 1844"""
52166,"While in England in 1760, John Hancock attended the coronation of this king"
52184,"(<a href=""http://www.j-archive.com/media/2010-07-26_DJ_10.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from in front of the Bayeux Tapestry.</a>)  The tapestry opens in 1064 with this childless king on England's throne; 11th century sources say the <a href=""http://www.j-archive.com/media/2010-07-26_DJ_10.jpg"" target=""_blank"">meeting</a> is about naming his successor"
54982,"When England's Queen Anne died, this German became king because he was a great grandson of James I"
56600,This city known for its 24-hour auto race was the birthplace of England's King Henry II in 1133
57479,He was the last of the 3 men who were king of England during 1066
57516,Famous (& rather insulting) adjective for England's King Ethelred II
58112,The only name shared by four consecutive kings of England
58949,He became King of England in 1399 after forcing his cousin Richard II from the throne
59221,"In the 1697 Treaty of Rijswijk, the French recognized this Dutch-born man as king of England"
59780,"In literature, restoration refers to the period after the return of this king to England's throne in 1660"
60601,"He was working on his 3rd symphony when he died in England in 1934; it premiered in 1998 amid much ""pomp"""
66520,"This king called ""the Great"" beat the Danes in 886 to keep all of England from being conquered"
69727,This first Tudor king reigned on the throne of England
69991,"Chronological lists of England's kings are missing 1649-1660, between 2 kings of this name"
70052,"In 1710 Handel was appointed kapellmeister to the elector of Hanover, this future king of England"
71808,"Number of the William who was England's ""Sailor King"" from 1830 to 1837"
72582,This current king of Jordan received part of his education in England at Harrow & Sandhurst
74235,Barons & churchmen drew up this 1215 document to reduce the power of England's King John
74611,In 1497 this Venetian sailing for England became the first European since the Vikings to reach N. America
74723,"It's the rank of the character singing <a href=""http://www.j-archive.com/media/2006-06-28_DJ_14.mp3"">here</a>  <i>""I know the kings of England and I quote the fights historical / From Marathon to Waterloo, in order categorical""</i>"
76814,"11th century England had 2 kings with this name, one a Dane & one a Saxon"
77195,"He became King of England on June 26, 1483; just over 2 years later he was killed at Bosworth Field"
78510,"Henry II, who succeeded Stephen as king of England in 1154, was the first monarch from this ""house"""
79269,"He called himself ""king of Great Britain"" after gaining England's throne in 1603--he was already king of Scotland"
79457,"On Christmas Day 1066, he was crowned King of England, 72 days after defeating Harold at the Battle of Hastings"
80113,"England's King Charles II was known by this ""jovial"" nickname"
80548,"This nickname of Virginia came from Charles II ranking it with England, Ireland, France & Scotland"
80794,"England's last Lancastrian king, he was imprisoned & murdered in the Tower of London in 1471"
80906,England had its last Saxon king
82525,"The ""rump"" parliament wanted him to be the last king England would ever name"
84639,"He went from second banana on ""Roseanne"" to top banana of England in ""King Ralph"""
86353,"The taking of England by William in 1066 is known as this ""Conquest"""
86412,This country's King Olaf V was born in England & was the grandson of King Edward VII
86572,"During an 1840 speaking tour in England, he persuaded thousands to emigrate to Nauvoo, Illinois"
87388,"<a href=""http://www.j-archive.com/media/2005-02-11_J_10.mp3"">In 1860s England, he would change the rules of pugilism forever... by making them!  This summer, Vin Diesel is...</a>"
89710,This 11th Century King of England also ruled Denmark & Norway during the latter part of his reign
90084,"He was ""the Confessor"" king of England in the 11th century"
92688,"In a 1989 ceremony at Buckingham Palace, the Queen of England made him an honorary knight"
94425,From 1714 to 1830 every king of England had this name
95019,"Regent for his predecessor from 1811 to 1820, he was king of England on his own from 1820 to 1830"
95375,"Like England's William I, Aragon's Jaime I won this nickname, in part by taking over Valencia"
101374,"""Carolus Stuardus"" by Andreas Gryphius is about this executed king of England"
103704,This king of England was the grandfather of Elizabeth I
110508,"This Romantic began his ""England in 1819"", ""An old, mad, blind, despised and dying king"""
111926,"It begins ""John, by the grace of God, King of England, Lord of Ireland, Duke of Normandy & Aquitaine...."""
115727,"In 1191, Berengaria married this king of England in Limassol, Cyprus"
118809,In French this King of England is called Guillaume le Conquerant
119321,"Winchester, the county seat of Hampshire, was the capital of this Western Anglo-Saxon kingdom of England"
121469,"In this Twain tale, Tom Canty is a dead ringer for the future king of England"
123299,"If you want to be crowned King of England, this rock has to be in your coronation chair"
123671,King Henry VII of England dies
125257,"The first Hanoverian king born in England, he ruled for 60 years, from 1760 to 1820"
125822,Famous nickname of the eldest son of England's King Edward III
125999,"""More butcher than king in England"" is seen as this leader born in 1599, 33 years after Nostradamus died"
127484,Ethelred the Unready managed to lose most of England to King Sweyn Forkbeard of this country
127758,This state was named for the King of England who reigned from 1727 to 1760
129106,"King Edward I of England, who fought William Wallace, had this nickname relating to his height"
130208,"This ""Sun King"" sniffed, ""England is a little garden full of sour weeds"""
133886,This conflict's last battle in 1485 resulted in the house of Lancaster taking power in England
137753,"1999: ""Goodnight you princes of Maine, you kings of New England"""
137818,The last King William to rule England had this number after his name
139253,"1189,1377 &1483 are the 3 years the only 3 kings of England with this name each ascended the throne"
140080,"In 1191 this ""Lion-Hearted"" king of England captured Cyprus & Acre during the Crusades"
140941,Dutch-born Protestant Prince William of Orange became king of England after this Catholic king was deposed & fled
143216,Anglo-Saxon legend says his third son Japheth is an ancestor of the kings of Wessex & England
143434,This Flemish artist painted a unique triple portrait of England's King Charles I around 1637
148050,"In the late 800s, this king of Wessex prevented the Vikings from conquering all of England"
148383,"Ending an 800-year-old monarchy, in October this country became a republic & its last king, Manuel II, fled to England"
148910,"On his way back from failing to take Jerusalem in 1192, this king of England was captured & later ransomed"
150622,The only king of England named Stephen was the grandson of this conqueror
150640,England had this many kings named Richard
150880,"During Stanley Baldwin's term as P.M., this King of England abdicated"
151335,"2000 saw a fight in England over running the lottery, with this Virgin king at the forefeont"
151746,"Colchester, England was named for this legendary Celtic king immortalized in rhyme"
153110,"At the beginning of ""A Tale of Two Cities"", these 2 kings sit on the thrones of England & France"
158120,"This Dutch-born English king introduced gin to England as the ""pouring spirit"" in the palace at Hampton Court"
159374,A translation of the Bible is named for this king of England & Scotland
159378,This king divorced the Church of England from the Catholic Church so that he could divorce the first of 6 wives
162515,"The Glorious Revolution of 1688 brought this Dutchman to power as king of England, Scotland, & Ireland"
162560,"This Shakespeare title guy, the last Yorkist king of England, was beloved by the people of York"
165110,"The 1st commoner to rule England, he became lord protector following the overthrow of King Charles I"
165197,"The ""Angel of Hadley"" is said to have saved a New England town during the war with this Indian ""King"""
166055,"Argentina didn't ""kick"" about this controversial tie-breaking method after using it to beat England"
167337,The last Anglo-Saxon king of England was killed in this battle
170007,"In the 1697 Treaty of Rijswijk, the French recognized this Dutch-born man as King of England"
170222,A breed of spaniel is named for England's second king of this name
174055,This conqueror was crowned King of England on Christmas Day 1066
175259,His short reign as King of England fell in in 1936
178590,He succeeded Henry II as king of England in 1189 & was himself succeeded by John in 1199
178653,Soccer was forbidden in 14th century England for taking practice time away from this military skill
178921,Richard was crowned king of England at this place of worship
181798,1066: He's crowned king of England
183462,"A capital in the West Indies is named for this family name of William of Orange, King of England"
183694,By 878 the Vikings had conquered all of England except for this southern kingdom controlled by Alfred the Great
186239,"He was King of England from 1189 to 1199 but spent only 6 months there; the rest of the time, he was off fighting"
187651,This Bahamian capital took its name from the family name of King William III of England
188559,This style influenced by the Romans is named for England's 4 kings between 1714 & 1830
189674,In January 1533 she secretly married the king of England
190102,The man who became king of England in 1066 was succeeded by this king in 1087
191329,"This Coventry, England company made its first motorcycle in 1902 & began making its own engines in 1905"
191531,"On Jan. 28, 1547, after a physical & mental decline, this king of England was (surprisingly) survived by his wife Catherine"
191579,England's King Harold II lost the all-important Battle of Hastings in this year
191885,1 of the first 5 kings of England
191969,"On January 6, 1066, one day after Edward the Confessor died, he became king of England"
192265,"(<a href=""http://www.j-archive.com/media/2012-01-17_DJ_25.jpg"" target=""_blank"">Sarah of the Clue Crew stands in front of the Royal Palace in Oslo, Norway.</a>) King Harald V lives here, in Norway's Royal Palace. He and his second cousin, England's Queen Elizabeth, are both great-grandchildren of this British king, who ruled from 1901 to 1910."
192966,England's King _____ _____ R. Luce
194516,"The ""Monty Python"" member who played King Arthur, he ended his grail quest in Maidstone, England"
195099,"In 1714 the Prince of Hanover, who spoke little English, became king of England under this name"
195105,In 1603 he became the first Stuart king of England
196287,England's Richard III was the last king of this ruling house
200369,8th C. King Offa built a 170-mile north-south dike that still partly marks the border of England & this country
200381,"This monarch on whom the Magna Carta was forced has been called ""the worst king ever to rule England"""
201168,Popular Saint-Exupery character waiting around to become king of England
202011,"In 1731 this man's ear was cut off, later sparking a war between Spain & England"
204778,"This southern colony was named for a king of England, the II of that name"
208295,In 1066 this great-great grandson of Rollo made what some call the last Viking invasion of England
208742,Dutch-born king who ruled England jointly with Mary II & is a tasty New Zealand fish
213870,In 1781 William Herschel discovered Uranus & initially named it after this king of England
216021,"His nickname was ""Bertie"", but he used this name & number when he became king of England in 1901"
216789,"This kingdom of England grew from 2 settlements, one founded around 495 by Cerdic & his son Cynric"
